Item No.,Discipline,Severity,Reference Drawing(s)/Location,Observation/Comments
106,Mechanical,Critical,"M-167_FLOOR PLAN - LEVEL 67 - MECHANICAL PLAN.pdf, M-168A_FLOOR PLAN - LEVEL 68 - MECHANICAL PLAN - SECTOR A.pdf, M-168B_FLOOR PLAN - LEVEL 68 - MECHANICAL PLAN - SECTOR B.pdf, M-169A_FLOOR PLAN - EMR LEVEL 1 - SECTOR A.pdf, M-169B_FLOOR PLAN - EMR LEVEL 1 - SECTOR B.pdf","No mechanical riser diagrams, hydronic schematics, or overall control diagrams are referenced on these sheets, so system interconnections between EMR levels, Level 67, and roof mechanical equipment cannot be confirmed for constructability and coordination."
107,Mechanical,Critical,M-301A_MECHANICAL AIR RISER DIAGRAM #1 - NORTH TOWER.pdf,"Air riser diagram is very dense and does not clearly identify shaft sizes, required clearances, or which risers share shafts; without shaft allocation notes, vertical coordination with structure/architectural cores is uncertain."
108,Mechanical,Critical,M-301A_MECHANICAL AIR RISER DIAGRAM #1 - NORTH TOWER.pdf,Many floor levels show multiple branch connections without duct sizes or CFM values labeled at each takeoff; contractor cannot size branches or verify balancing requirements from this sheet alone.
109,Mechanical,Critical,M-301A_MECHANICAL AIR RISER DIAGRAM #1 - NORTH TOWER.pdf,"Control devices (smoke dampers, fire/smoke dampers, control dampers, balancing dampers) are not consistently indicated at riser branches and penetrations; unclear where code-required fire/smoke separation and balancing will be provided."
110,Mechanical,Critical,M-301A_MECHANICAL AIR RISER DIAGRAM #1 - NORTH TOWER.pdf,"No explicit note of equipment elevations or floor levels for main AHUs/fans serving these risers, making it difficult to confirm static pressure zoning and coordination with mechanical-room layouts."
111,Mechanical,Critical,M-301A_MECHANICAL AIR RISER DIAGRAM #1 - NORTH TOWER.pdf,"Riser diagram does not reference sequences of operation or BMS control points for major components (VAVs, smoke control, relief fans); constructability of controls and commissioning scope is unclear without cross-reference."
112,Mechanical,Critical,M-301B_MECHANICAL AIR RISER DIAGRAM #1- SOUTH TOWER.pdf,"Similar to North Tower, shaft allocation and required shaft dimensions for multiple parallel risers are not defined; risk that architectural shafts are undersized for combined supply/return/exhaust ductwork."
113,Mechanical,Critical,M-301B_MECHANICAL AIR RISER DIAGRAM #1- SOUTH TOWER.pdf,Numerous branches to tenant/guestroom areas lack duct size and airflow labels; cannot verify diversity assumptions or confirm that main riser sizing matches connected loads.
114,Mechanical,Critical,M-301B_MECHANICAL AIR RISER DIAGRAM #1- SOUTH TOWER.pdf,Locations of fire/smoke dampers at rated floor and shaft penetrations are not clearly shown; unclear how code-required compartmentation and smoke control will be achieved at each level.
115,Mechanical,Critical,M-301B_MECHANICAL AIR RISER DIAGRAM #1- SOUTH TOWER.pdf,"No indication of access panels or access doors for dampers, VAVs, and other devices shown in risers; maintenance access through ceilings and shafts is not documented."
116,Mechanical,Critical,M-302B_MECHANICAL AIR RISER DIAGRAM #2 - SOUTH TOWER.pdf,"Air riser diagram does not indicate required shaft sizes or clearances for main supply/return/relief risers, making coordination with structure and other trades unclear."
117,Mechanical,Critical,M-302B_MECHANICAL AIR RISER DIAGRAM #2 - SOUTH TOWER.pdf,Fire/smoke dampers at shaft penetrations are not clearly shown or tagged for each branch takeoff to guestrooms; need explicit damper locations and types for code compliance and coordination.
118,Mechanical,Critical,M-302B_MECHANICAL AIR RISER DIAGRAM #2 - SOUTH TOWER.pdf,"Diagram shows connections to multiple FCU’s but does not indicate duct sizes or balancing devices (volume dampers) at each takeoff, which is required for air balancing and constructability."
119,Mechanical,Critical,M-302B_MECHANICAL AIR RISER DIAGRAM #2 - SOUTH TOWER.pdf,"Relief/exhaust risers to roof are shown without indication of louver/hood locations, sizes, or required separation from intakes; rooftop coordination and code clearances cannot be verified."
120,Mechanical,Critical,M-302B_MECHANICAL AIR RISER DIAGRAM #2 - SOUTH TOWER.pdf,"Access and service clearances for any inline fans, fire/smoke dampers, or other devices within shafts are not indicated; need minimum access door sizes and locations for maintenance."
121,Mechanical,Critical,M-304A_MECHANICAL WATER RISER DIAGRAM #1- NORTH TOWER.pdf,Diagram does not show shaft width/depth or relationship of chilled/condenser water risers to other trades; lack of shaft allocation information may cause field coordination issues.
122,Mechanical,Critical,M-304A_MECHANICAL WATER RISER DIAGRAM #1- NORTH TOWER.pdf,"Water riser diagram shows connections to numerous FCU’s but does not indicate balancing valve type, isolation valve arrangement, or coil bypass/flush connections at each unit, which are typically required."
123,Mechanical,Critical,M-304A_MECHANICAL WATER RISER DIAGRAM #1- NORTH TOWER.pdf,"No explicit indication of system low-point drains or high-point air vents on vertical risers; locations for vents and drains are needed for proper filling, air removal, and maintenance."
124,Mechanical,Critical,M-304A_MECHANICAL WATER RISER DIAGRAM #1- NORTH TOWER.pdf,Riser diagram for water piping does not address condensate drain risers for the large quantity of fan coils; absence of condensate routing and coordination is a constructability gap.
125,Mechanical,Critical,M-304B_MECHANICAL WATER RISER DIAGRAM #1- SOUTH TOWER.pdf,"Similar to North Tower, water risers are shown without shaft dimensions or explicit coordination notes with structure/other services; constructability of multi-riser shafts is unclear."
126,Mechanical,Critical,M-304B_MECHANICAL WATER RISER DIAGRAM #1- SOUTH TOWER.pdf,"FCU branches do not clearly show required control valve packages (2-way/3-way valves, strainers, unions, circuit setters) or service valves; need explicit schematic per typical unit for installer."
127,Mechanical,Critical,M-304B_MECHANICAL WATER RISER DIAGRAM #1- SOUTH TOWER.pdf,High- and low-point vent and drain provisions for chilled/condenser water risers are not identified; commissioning and maintenance strategy is ambiguous.
128,Mechanical,Critical,M-304B_MECHANICAL WATER RISER DIAGRAM #1- SOUTH TOWER.pdf,"No condensate riser or drainage scheme is indicated for the stacked fan coils, leaving routing, pipe sizing, and connection to building drainage unclear."
129,Mechanical,Critical,M-306_MECHANICAL FUEL OIL DIAGRAM - GENERATOR.pdf,"Diagram does not clearly indicate pipe sizes for all supply/return and vent lines, preventing confirmation of capacity and velocity limits."
130,Mechanical,Critical,M-306_MECHANICAL FUEL OIL DIAGRAM - GENERATOR.pdf,"Fill, vent, and overflow routing to exterior/termination locations are not fully detailed (no elevations or termination types), making coordination with architecture and code compliance unclear."
131,Mechanical,Critical,M-306_MECHANICAL FUEL OIL DIAGRAM - GENERATOR.pdf,"No leak detection, double-wall piping indication, or containment provisions are shown for fuel oil piping runs, so code-required environmental protection cannot be confirmed."
132,Mechanical,Critical,M-306_MECHANICAL FUEL OIL DIAGRAM - GENERATOR.pdf,"Locations and types of isolation valves, check valves, and fire-safety shutoff valves are only partially indicated; it is unclear how fuel can be safely isolated for maintenance or emergency."
133,Mechanical,Critical,M-306_MECHANICAL FUEL OIL DIAGRAM - GENERATOR.pdf,"Underground piping detail at bottom of sheet does not indicate burial depth, sleeve requirements, or corrosion protection, leaving constructability and durability unresolved."
134,Mechanical,Critical,M-306_MECHANICAL FUEL OIL DIAGRAM - GENERATOR.pdf,"No clear sequence of operation or control interface for fuel transfer pumps, day tank level controls, and generator interlocks is provided, making controls design and commissioning ambiguous."
135,Mechanical,Critical,M-306_MECHANICAL FUEL OIL DIAGRAM - GENERATOR.pdf,"Diagram does not show access or service clearances around the fuel oil tank, day tank, and pumps, so ability to install, inspect, and replace equipment cannot be confirmed."
136,Mechanical,Critical,M-307_MECHANICAL FUEL OIL DIAGRAM - FIRE PUMP.pdf,"Fire pump fuel oil piping diagram omits pipe sizes for several segments, preventing verification of adequate fuel delivery and code-compliant velocities."
137,Mechanical,Critical,M-307_MECHANICAL FUEL OIL DIAGRAM - FIRE PUMP.pdf,"Terminations for fill, vent, and overflow piping (locations, heights, weather protection, and separation from openings) are not clearly defined, making code compliance uncertain."
138,Mechanical,Critical,M-307_MECHANICAL FUEL OIL DIAGRAM - FIRE PUMP.pdf,"No secondary containment, double-wall piping, or leak detection provisions are indicated for fuel oil storage and piping, which may be required for fire pump fuel systems."
139,Mechanical,Critical,M-307_MECHANICAL FUEL OIL DIAGRAM - FIRE PUMP.pdf,"Diagram does not clearly show all required isolation, check, and emergency shutoff valves, making it unclear how the fuel system can be safely isolated and tested."
140,Mechanical,Critical,M-307_MECHANICAL FUEL OIL DIAGRAM - FIRE PUMP.pdf,"Underground fuel piping section lacks information on burial depth, sleeve/transition details, and corrosion protection, making coordination with civil/structural and long-term durability uncertain."
141,Mechanical,Critical,M-307_MECHANICAL FUEL OIL DIAGRAM - FIRE PUMP.pdf,"No explicit sequence of operation or control description is provided for fire pump fuel transfer, level control, and interlocks with the fire pump controller, leaving system operation ambiguous."
142,Mechanical,Critical,M-412_MECHANICAL VENTILATION CALCULATIONS.pdf,"Ventilation calculation tables list CFM and air changes but do not reference specific AHU/FCU/ERV equipment tags or duct systems, making it unclear which equipment and ductwork serve each listed space for coordination and verification."
143,Mechanical,Critical,M-412_MECHANICAL VENTILATION CALCULATIONS.pdf,"Basis of design (code edition, assumed occupancy densities, infiltration assumptions, diversity factors) for the ventilation calculations is not indicated, preventing confirmation that the listed CFM values meet current code and design criteria."
144,Mechanical,Critical,M-412_MECHANICAL VENTILATION CALCULATIONS.pdf,"Exhaust/relief locations and paths (e.g., toilet, kitchen, dryer exhaust terminations) are not cross‑referenced to shaft IDs or louver tags, leaving coordination of required exhaust flows with available shaft and louver capacity ambiguous."
145,Mechanical,Critical,M-412_MECHANICAL VENTILATION CALCULATIONS.pdf,"Garage ventilation calculation shows required and provided CFM but does not identify associated fan tags, duct/jet fan layout, or control strategy (normal vs smoke purge), making it difficult to verify that the garage ventilation design is coordinated with mechanical plans and controls."
146,Mechanical,Critical,M-412_MECHANICAL VENTILATION CALCULATIONS.pdf,"Post‑fire smoke purge calculation lists airflow and ACH but does not indicate which fans operate in purge mode, their interlocks with fire alarm/BMS, or which shafts/louvers are used, leaving constructability and sequence of operation for smoke purge unclear."
147,Mechanical,Critical,M-501_MECHANICAL DETAILS.pdf,"Generator exhaust penetration detail does not indicate required fire rating of the assembly, firestopping system, or UL design reference for penetrations through rated walls/roofs, leading to ambiguity on code‑compliant installation."
148,Mechanical,Critical,M-501_MECHANICAL DETAILS.pdf,"DOAS unit piping detail does not clearly show locations of isolation valves, balancing valves, strainers, and drains relative to the unit for service access, making it difficult to ensure adequate maintenance clearances and hydronic balancing."
149,Mechanical,Critical,M-501_MECHANICAL DETAILS.pdf,"Air separator and expansion tank detail lacks structural support/anchorage requirements and connection to building structure, leaving ambiguity on how the tank and separator are to be supported and restrained."
150,Mechanical,Critical,M-501_MECHANICAL DETAILS.pdf,"Typical riser anchor detail does not define maximum riser height or spacing between anchors and guides, making it unclear how many anchors are required and potentially impacting pipe stress and coordination."
151,Mechanical,Critical,M-501_MECHANICAL DETAILS.pdf,"Roof‑mounted duct support detail does not identify required curb/stand heights above roof, wind/seismic anchorage requirements, or coordination with roofing warranty, which may cause constructability and waterproofing issues."
152,Mechanical,Critical,M-501_MECHANICAL DETAILS.pdf,"Pipe support on roof detail omits specific pipe size ranges, maximum span, and load limitations for each support configuration, creating uncertainty for hanger design and potential overloading of roof structure."
153,Mechanical,Critical,M-501_MECHANICAL DETAILS.pdf,"Electric duct heater detail does not show required access panel sizes/locations, disconnect switch location, or clearance to combustible construction, making maintenance access and code compliance unclear."
154,Mechanical,Critical,M-501_MECHANICAL DETAILS.pdf,"AHU coil piping detail does not clearly show vent and drain locations at coils or provisions for coil bypass/flush connections, which can hinder commissioning and maintenance."
155,Mechanical,Critical,M-501_MECHANICAL DETAILS.pdf,"Duct caulking detail for non‑fire‑damped penetrations does not reference tested fire/smoke assemblies or sealant ratings where ducts pass through rated partitions, leaving firestopping requirements ambiguous."
156,Mechanical,Critical,M-503_MECHANICAL DETAILS.pdf,"Condensing boiler venting detail does not clearly indicate materials, maximum equivalent length, or condensate drain routing/neutralization for the vent system, which are critical for constructability and manufacturer compliance."
157,Mechanical,Critical,M-503_MECHANICAL DETAILS.pdf,"Boiler trim detail omits clear identification of required valves, strainers, relief discharge routing, and expansion provisions, making it difficult to verify a complete and serviceable boiler piping arrangement."
158,Mechanical,Critical,M-503_MECHANICAL DETAILS.pdf,"Typical fan hanging detail does not specify vibration isolation type/deflection, seismic restraint requirements, or maximum supported equipment weight, leaving coordination with structural and vibration criteria unresolved."
159,Mechanical,Critical,M-503_MECHANICAL DETAILS.pdf,"Duct roof penetration detail lacks indication of insulation continuity, vapor barrier treatment, and curb height relative to roof, which may cause condensation and waterproofing issues."
160,Mechanical,Critical,M-503_MECHANICAL DETAILS.pdf,"Linear diffuser detail does not show ceiling depth limitations, required access to balancing dampers, or coordination with structural/lighting systems, making layout in congested ceilings uncertain."
161,Mechanical,Critical,M-503_MECHANICAL DETAILS.pdf,"Fire damper at slab detail does not indicate required access door location, sleeve gauge/length, or breakaway connection details, hindering inspection and installation coordination."
162,Mechanical,Critical,M-503_MECHANICAL DETAILS.pdf,"Transition detail through rated walls does not reference UL assembly, firestopping materials, or damper requirements, making code compliance for penetrations ambiguous."
163,Mechanical,Critical,M-503_MECHANICAL DETAILS.pdf,"Duct hanging method detail does not provide maximum hanger spacing by duct size or gauge, nor coordination with seismic bracing requirements, leaving support design incomplete."
164,Mechanical,Critical,M-503_MECHANICAL DETAILS.pdf,"In‑line fan support detail omits required flexible connections, vibration isolation specifications, and access clearances for service, potentially causing noise and maintenance issues."
165,Mechanical,Critical,M-503_MECHANICAL DETAILS.pdf,"Jumper duct details do not indicate required acoustic lining, fire/smoke rating requirements, or coordination with ceiling plenum fire/smoke separations, leaving performance and code compliance unclear."
166,Mechanical,Critical,M-503_MECHANICAL DETAILS.pdf,"Piping penetration detail through fire rated assemblies does not reference tested firestop systems, annular space requirements, or insulation treatment, making it impossible to verify fire rating continuity."
167,Mechanical,Critical,M-504_MECHANICAL DETAILS.pdf,"Fire/smoke damper installation detail lacks explicit requirements for access doors, actuator locations, and coordination with duct detectors/BMS, which are necessary for testing and maintenance."
168,Mechanical,Critical,M-504_MECHANICAL DETAILS.pdf,"Pump piping detail does not show suction/discharge straight‑run requirements, flexible connectors, or alignment tolerances, which are critical for pump performance and vibration control."
169,Mechanical,Critical,M-504_MECHANICAL DETAILS.pdf,"Plate & frame heat exchanger detail omits clear isolation, bypass, strainer, and vent/drain arrangement, making it difficult to perform maintenance or isolate the heat exchanger without draining large sections of the system."
170,Mechanical,Critical,M-504_MECHANICAL DETAILS.pdf,"Flexible duct details do not state maximum length, number of bends, or required tensioning per code/SMACNA, leaving risk of excessive pressure drop and poor airflow if installed loosely."
171,Mechanical,Critical,M-504_MECHANICAL DETAILS.pdf,"Heat pump closet detail does not clearly show required service clearances, access door sizes, condensate drain routing, or ventilation/combustion air provisions, making maintainability and code compliance uncertain."
172,Mechanical,Critical,M-504_MECHANICAL DETAILS.pdf,"Sidewall linear diffuser detail omits balancing damper location and required access, and does not address condensation or insulation at exterior walls, leading to potential performance and moisture issues."
173,Mechanical,Critical,M-504_MECHANICAL DETAILS.pdf,"Fuel oil room ventilation detail does not specify required air changes, explosion‑proof requirements, intake/exhaust separation distances, or fan/equipment tags, making it impossible to confirm code‑compliant ventilation design."
174,Mechanical,Critical,M-504_MECHANICAL DETAILS.pdf,"Ceiling diffuser connection detail lacks indication of duct lining, balancing damper location, and clearance for diffuser removal, which may complicate balancing and maintenance."
175,Mechanical,Critical,M-504_MECHANICAL DETAILS.pdf,"Cooling coil drain detail does not show trap sizing relative to coil negative static pressure, cleanout locations, or condensate termination point, leaving risk of improper drainage and overflow."
176,Mechanical,Critical,M-504_MECHANICAL DETAILS.pdf,"Barometric damper detail omits adjustment range, access requirements, and coordination with duct static setpoints, making proper field setup and balancing unclear."
177,Mechanical,Critical,M-504_MECHANICAL DETAILS.pdf,"Detail for 2‑hour fire rated fan enclosure does not show required fan access doors, structural supports, firestopping at duct penetrations, or integration with stair/elevator shafts, leaving constructability and inspection access unresolved."
178,Mechanical,Critical,M-505_MECHANICAL DETAILS.pdf,"Roof stair relief vent detail does not indicate required fire/smoke damper, actuator location, or control interface where vent penetrates rated roof or stair enclosure; need clarification on fire rating and damper/control requirements."
179,Mechanical,Critical,M-505_MECHANICAL DETAILS.pdf,"DOAS mounting detail lacks information on roof structural support design responsibility, curb height relative to roofing/wind requirements, and coordination of duct/condensate/fuel/electrical penetrations through curb."
180,Mechanical,Critical,M-505_MECHANICAL DETAILS.pdf,"No clear access/maintenance clearances are indicated around DOAS unit (filter access, coil pull, fan access, etc.), creating risk of inadequate service space once coordinated with parapets and adjacent equipment."
181,Mechanical,Critical,M-505_MECHANICAL DETAILS.pdf,"Detail relies on narrative to exempt fire dampers but does not reference specific code sections, UL assemblies, or maximum opening sizes; unclear criteria for when this detail is acceptable versus when dampers are required."
182,Mechanical,Critical,M-505_MECHANICAL DETAILS.pdf,"Fire damper wall detail does not show access door size/location, sleeve gauge, or connection type (breakaway vs rigid) for duct to damper; constructability and code compliance are ambiguous."
183,Mechanical,Critical,M-505_MECHANICAL DETAILS.pdf,"Combination fire/smoke damper detail omits actuator access path, required working clearance, and power/control conduit routing, risking inaccessible actuators and non-serviceable dampers."
184,Mechanical,Critical,M-505_MECHANICAL DETAILS.pdf,"Generic firestopping details do not differentiate by penetrant type (duct vs pipe vs conduit) or by hourly rating, and do not reference tested systems (UL/GA numbers); installer cannot confirm compliant assemblies."
185,Mechanical,Critical,M-505_MECHANICAL DETAILS.pdf,"Heat pump return plenum detail does not show liner/insulation requirements, access panel for coil/filter service, or provisions for condensate overflows or secondary drain pans below unit."
186,Mechanical,Critical,M-505_MECHANICAL DETAILS.pdf,"Slot diffuser detail omits balancing damper location, access for adjustment, and ceiling coordination (tile vs gypsum, trim type), making air balancing and installation details unclear."
187,Mechanical,Critical,M-506_MECHANICAL DETAILS.pdf,"Roof exhaust fan detail does not indicate required curb height, seismic/wind restraint method, or coordination with roofing system and overflow/condensate protection; flashing responsibility is ambiguous."
188,Mechanical,Critical,M-506_MECHANICAL DETAILS.pdf,"Upblast fan detail lacks backdraft damper, birdscreen, and grease/smoke separation notes where applicable; also no indication of electrical disconnect location or access platform for maintenance."
189,Mechanical,Critical,M-506_MECHANICAL DETAILS.pdf,"Emergency generator schematic shows cooling and fuel connections but lacks clear identification of pipe sizes, materials, vent/overflow routing, and required valves/strainers for constructible fuel oil and cooling systems."
190,Mechanical,Critical,M-506_MECHANICAL DETAILS.pdf,"No coordination shown between generator combustion air/cooling air openings and building louvers/ductwork (sizes, locations, fire/smoke protection), leaving generator room ventilation design incomplete."
191,Mechanical,Critical,M-506_MECHANICAL DETAILS.pdf,"Detail allowing boot connection in lieu of fire damper does not reference specific shaft rating, duct material, or code justification; unclear under what conditions fire dampers are waived and how continuity of rating is maintained."
192,Mechanical,Critical,M-506_MECHANICAL DETAILS.pdf,"Diesel exhaust flexible connection detail omits temperature rating, insulation requirements, and support spacing/anchors, making compliance with generator manufacturer and code unclear."
193,Mechanical,Critical,M-601_MECHANICAL CONTROLS.pdf,"Controls sheet shows multiple schematic diagrams but does not provide a controls point list or I/O summary per system, making it difficult to verify completeness of sensors, safeties, and control devices for BAS integration."
194,Mechanical,Critical,M-601_MECHANICAL CONTROLS.pdf,"Individual terminal unit control diagrams do not clearly indicate valve types (2-way vs 3-way), fail position, actuator power requirements, or coordination with TAB (minimum flow setpoints), creating ambiguity for valve selection and commissioning."
195,Mechanical,Critical,M-601_MECHANICAL CONTROLS.pdf,"DOAS control schematic lacks explicit sequence for economizer/heat recovery, freeze protection, and low-temperature lockout, and does not show interlocks with exhaust/relief systems, risking incomplete programming."
196,Mechanical,Critical,M-601_MECHANICAL CONTROLS.pdf,"No clear dedicated sequence or diagram is provided for stair/egress pressurization or smoke control functions, making it impossible to confirm compliance with life safety and Master Observation requirements."
197,Mechanical,Critical,M-601_MECHANICAL CONTROLS.pdf,"General notes do not define division of responsibility between mechanical contractor, controls vendor, and electrical contractor for power wiring vs control wiring, potentially leading to scope gaps."
198,Mechanical,Critical,230000 - Hvac index.pdf,"Index lists multiple Division 23 sections but there is no indication that life-safety related controls (smoke control, stair pressurization, emergency shutdown) are covered in any section; need clarification on spec sections governing these systems."
199,Mechanical,Critical,230000 - Hvac index.pdf,"Hydronic specialties, pumps, and water treatment sections are listed but there is no cross-reference here to sequences of operation or controls requirements for these systems, leaving coordination between specs and controls drawings unclear."
200,Mechanical,Critical,"230593 - Testing, adjusting, and balancing for hvac.pdf","TAB spec lists systems and general responsibilities but does not define required TAB procedures, reporting formats, or acceptance criteria (e.g., tolerances vs design, re-test triggers), creating ambiguity for commissioning and balancing scope."
201,Mechanical,Critical,"230593 - Testing, adjusting, and balancing for hvac.pdf","TAB scope calls for confirming performance of “all fire safety systems” without cross-reference to specific life-safety systems (smoke control, stair pressurization, fire dampers) or required code-driven test protocols, leaving unclear coordination with fire protection and AHJ requirements."
202,Mechanical,Critical,"230593 - Testing, adjusting, and balancing for hvac.pdf","Specification requires TAB contractor to review drawings and provide recommendations but does not clearly allocate responsibility for providing permanent test ports, balancing dampers, and access for measurements on each system, which could lead to incomplete provisions in mechanical design/installation."
203,Mechanical,Critical,"231113 - Fuel oil system, piping and storage tanks.pdf","Fuel oil spec lists major system components but provides no indication of required system arrangement (e.g., day tank vs main tank, redundancy, normal/emergency pumping configuration), leaving significant design/constructability aspects to interpretation."
204,Mechanical,Critical,"231113 - Fuel oil system, piping and storage tanks.pdf","Minimum working-pressure rating is given for piping only; there is no defined performance for transfer pumps (flow, head, N+1 redundancy), filtration, or leak detection response, making it difficult to size and coordinate equipment with generator/fuel loads."
205,Mechanical,Critical,"231113 - Fuel oil system, piping and storage tanks.pdf","Submittal requirements reference “selected models” for various components but do not require a coordinated fuel oil system schematic and control sequence (including normal, emergency, and alarm conditions), which is critical for installation, testing, and commissioning."
206,Mechanical,Critical,233300 - Air duct accessories.pdf,"Fire, smoke, combination fire/smoke, and relief dampers are listed but there is no indication of required UL listings, leakage class, temperature ratings, or installation standards on this page, leaving damper performance and code compliance requirements ambiguous."
207,Mechanical,Critical,233300 - Air duct accessories.pdf,"Duct-mounted access doors are specified generally but there is no criteria here for minimum quantity, locations (upstream/downstream of coils, dampers, fire/smoke devices), or size, making required access for inspection and maintenance unclear."
208,Mechanical,Critical,233300 - Air duct accessories.pdf,"Flexible connectors and flexible ducts are included without any limitations on maximum length, use locations, or construction standards on this page, which can lead to excessive flex duct runs and unsupported connectors impacting performance and code compliance."
209,Mechanical,Critical,"235100 - Breechings, chimney, stacks and emergency generator exhaust.pdf","Section includes insulated gas/oil vents and generator exhaust but does not reference any drawings or schedules identifying which appliances/generators are served, routing paths, or termination locations, making system extent and coordination with architectural/structural unclear."
210,Mechanical,Critical,"235100 - Breechings, chimney, stacks and emergency generator exhaust.pdf","Shop-drawing requirements place full design responsibility (plans, elevations, sections, anchorage, wind design, etc.) on manufacturer/structural engineer without providing baseline design criteria (stack heights, clearances to openings, routing zones), which may lead to constructability and coordination conflicts in the field."
211,Mechanical,Critical,"235100 - Breechings, chimney, stacks and emergency generator exhaust.pdf","Requirement for manufacturer to provide ASHRAE flue sizing calculations references “vent equivalent feet” but does not define design flue gas temperatures, allowable pressure drop, or draft criteria, leaving exhaust sizing basis ambiguous."
212,Mechanical,High,M-002_MECHANICAL SYSMBOLS AND ABBREVIATIONS.pdf,"Symbol legend includes many airside and hydronic symbols, but there is no explicit symbol or note for condensate drains from fan coils/air handlers, leaving interpretation of condensate routing and cleanout locations ambiguous."
213,Mechanical,High,M-002_MECHANICAL SYSMBOLS AND ABBREVIATIONS.pdf,"General mechanical notes are largely generic and do not define minimum service clearances around major equipment (AHUs, pumps, heat exchangers, etc.), which may lead to inadequate access space in architectural layouts."
214,Mechanical,High,M-002_MECHANICAL SYSMBOLS AND ABBREVIATIONS.pdf,"Pressurization/airflow table and sequence matrix describe stair and lobby pressurization conceptually but do not reference specific riser locations, duct sizes, or relief paths, creating ambiguity on how egress pressurization will be physically routed and coordinated with shafts and louvers."
215,Mechanical,High,M-002_MECHANICAL SYSMBOLS AND ABBREVIATIONS.pdf,"Test and balance notes reference system balancing but do not identify required balancing devices (dampers, circuit setters, flow meters) in the legend or notes, leaving uncertainty whether these components will be shown and accessible on the plans."
216,Mechanical,High,M-101_FLOOR PLAN - LEVEL 1 - MECHANICAL PLAN.pdf,"Level 1 plan shows main ductwork and mechanical equipment but does not clearly depict vertical duct/pipe riser locations or shaft boundaries for many systems, making coordination of vertical distribution and shaft sizing with other trades unclear."
217,Mechanical,High,M-101_FLOOR PLAN - LEVEL 1 - MECHANICAL PLAN.pdf,"Several mechanical/electrical rooms contain equipment symbols without indicated service/access clearances or access doors sized for equipment replacement, creating risk that installed equipment cannot be adequately serviced or removed."
218,Mechanical,High,M-101_FLOOR PLAN - LEVEL 1 - MECHANICAL PLAN.pdf,"Duct routing is shown schematically over structural/architectural grids with limited elevation information; without duct elevations or explicit coordination notes, there is ambiguity on clearances under structure and conflicts with beams/slabs."
219,Mechanical,High,M-101_FLOOR PLAN - LEVEL 1 - MECHANICAL PLAN.pdf,"Exterior intake/exhaust points and louvers are not clearly tagged with CFM, required free area, or weather protection/ birdscreen requirements, making it difficult to confirm that openings are adequately sized and coordinated with façade/architectural elements."
220,Mechanical,High,M-101_FLOOR PLAN - LEVEL 1 - MECHANICAL PLAN.pdf,"Mechanical plan does not indicate routing of condensate drains from interior units to plumbing points of connection, nor cleanouts or traps, leading to ambiguity in condensate management and coordination with plumbing."
221,Mechanical,High,M-101_FLOOR PLAN - LEVEL 1 - MECHANICAL PLAN.pdf,"Level 1 plan references various equipment tags but this sheet does not include corresponding mechanical equipment schedules (air handlers, fans, pumps, etc.), preventing verification of capacities, weights, and connection sizes needed for constructability and structural coordination."
222,Mechanical,High,M-101_FLOOR PLAN - LEVEL 1 - MECHANICAL PLAN.pdf,"No control diagrams or clear indication of thermostat/sensor locations and control wiring pathways on this plan, creating uncertainty for BMS coordination and potential conflicts with architectural finishes."
223,Mechanical,High,M-101_FLOOR PLAN - LEVEL 1 - MECHANICAL PLAN.pdf,"Ducts and pipes that appear to continue vertically to upper levels or roof are not clearly tagged with continuation references (e.g., to specific detail/riser sheets), making it difficult to understand complete system routing and coordinate penetrations."
224,Mechanical,High,M-103_FLOOR PLAN - LEVEL 3 - MECHANICAL PLAN.pdf,"Similar to Level 2, duct and piping routing is schematic with limited dimensions/elevations; vertical connections to risers/shafts are not clearly detailed, creating coordination risk."
225,Mechanical,High,M-103_FLOOR PLAN - LEVEL 3 - MECHANICAL PLAN.pdf,"Equipment access and service clearances are not depicted; no indication of door swing conflicts, coil pull space, or filter access, which may lead to maintenance access issues."
226,Mechanical,High,M-103_FLOOR PLAN - LEVEL 3 - MECHANICAL PLAN.pdf,Mechanical shaft sizes and allocation between supply/return/exhaust/condensate are not labeled; unclear if shaft space is adequate for all Level 3 services.
227,Mechanical,High,M-103_FLOOR PLAN - LEVEL 3 - MECHANICAL PLAN.pdf,"Condensate drainage for Level 3 fan coils/terminal units is not shown on the plan, including routing to risers or drains; risk of uncoordinated condensate piping."
228,Mechanical,High,M-103_FLOOR PLAN - LEVEL 3 - MECHANICAL PLAN.pdf,Exhaust duct runs from grilles to risers or exterior are not clearly indicated; constructability of exhaust paths and shaft capacity cannot be confirmed.
229,Mechanical,High,M-103_FLOOR PLAN - LEVEL 3 - MECHANICAL PLAN.pdf,"Outdoor air intake and exhaust/relief termination locations serving Level 3 equipment are not clearly shown, making it difficult to coordinate with façade and avoid short-circuiting with other openings."
230,Mechanical,High,M-104_FLOOR PLAN - LEVEL 4 - MECHANICAL PLAN.pdf,"Duct and piping layouts are schematic with minimal sizing and no elevation callouts; unclear how systems route around structure and other services, increasing coordination risk."
231,Mechanical,High,M-104_FLOOR PLAN - LEVEL 4 - MECHANICAL PLAN.pdf,"Level 4 mechanical equipment (fan coils, AHUs, etc.) lack clearly indicated service clearances and access pathways; no notes on required working space or access panels."
