Item No.,Discipline,Reference Drawing(s)/Location,Observation/Comments
158,Fire Protection,FP-29_FIRE PUMP LOW ZONE.pdf,"Vertical clearances above pumps, controllers, and piping not dimensioned; ability to provide required working space and future equipment removal path is unclear."
159,Fire Protection,FP-29_FIRE PUMP LOW ZONE.pdf,Seismic bracing for suction/discharge piping and tanks not indicated; need clarification on seismic restraint design and details.
160,Fire Protection,FP-29_FIRE PUMP LOW ZONE.pdf,Fire pump schedule lists capacities but does not clearly state design duty point (flow/pressure at rated speed) and redundancy/backup arrangement; confirmation of NFPA 20 sizing criteria is needed.
161,Fire Protection,FP-29_FIRE PUMP LOW ZONE.pdf,"Power source, transfer switch arrangement, and normal/emergency feeder sizes to electric fire pump and jockey pump controllers not shown; coordination with electrical for reliable power supply is unclear."
162,Fire Protection,FP-29_FIRE PUMP LOW ZONE.pdf,"Floor drainage, pump room floor slope, and discharge of test header/relief valve water not clearly indicated; risk of water damage or flooding of adjacent areas."
163,Fire Protection,FP-30_FIRE PUMP HIGH ZONE TOWER 1.pdf,"Pump room appears tight against architectural walls and BOH corridor; clear working space around pumps, controllers, and valves not dimensioned; constructability and NFPA 20 access requirements unclear."
164,Fire Protection,FP-30_FIRE PUMP HIGH ZONE TOWER 1.pdf,Room fire rating and fire door requirements between fire pump room and BOH corridor not identified; need confirmation of required separation and rated penetrations.
165,Fire Protection,FP-30_FIRE PUMP HIGH ZONE TOWER 1.pdf,Suction and discharge piping elevations relative to tank and pump centerlines not dimensioned; compliance with minimum submergence and avoidance of air pockets not verifiable.
166,Fire Protection,FP-30_FIRE PUMP HIGH ZONE TOWER 1.pdf,"No explicit indication of test header location, discharge piping routing to exterior, or hose valve arrangement; ability to conduct full-flow pump tests per NFPA 20 is unclear."
167,Fire Protection,FP-30_FIRE PUMP HIGH ZONE TOWER 1.pdf,Seismic bracing for high-zone pump piping and tanks not shown; need design information for seismic restraints.
168,Fire Protection,FP-30_FIRE PUMP HIGH ZONE TOWER 1.pdf,Schedule does not clearly indicate whether high-zone pumps are arranged in series/parallel with low-zone or garage pumps; overall system hydraulic coordination with schematics FP‑32/FP‑33 is unclear.
169,Fire Protection,FP-30_FIRE PUMP HIGH ZONE TOWER 1.pdf,"Relief valve, circulation loop, and cooling water piping for diesel or electric motor (if required) not clearly detailed; confirmation of compliance with NFPA 20 auxiliary systems needed."
170,Fire Protection,FP-31_FIRE PUMP HIGH ZONE TOWER 2.pdf,"Similar pump room layout to Tower 1 but architectural context not fully dimensioned; need confirmation that minimum clearances, door widths, and equipment removal paths are achievable for Tower 2."
171,Fire Protection,FP-31_FIRE PUMP HIGH ZONE TOWER 2.pdf,Coordination of multiple tanks and pumps within limited room height not clearly dimensioned; potential conflicts with overhead structure and MEP systems.
172,Fire Protection,FP-31_FIRE PUMP HIGH ZONE TOWER 2.pdf,"Drainage points and floor drains for tank overflow, pump relief valves, and test flows not clearly indicated; risk of uncontrolled discharge within room."
173,Fire Protection,FP-31_FIRE PUMP HIGH ZONE TOWER 2.pdf,"Electrical coordination for Tower 2 fire pump controllers (feeder routing, emergency power source, and disconnecting means) not shown; need confirmation with electrical drawings."
174,Fire Protection,FP-32_SCHEMATIC GARAGE ZONE + LOW ZONE.pdf,Riser and zone schematic shows pressures but does not clearly identify pipe sizes for all vertical risers and cross-mains; constructability and hydraulic adequacy cannot be verified.
175,Fire Protection,FP-32_SCHEMATIC GARAGE ZONE + LOW ZONE.pdf,Standpipe riser routing between stairwells and pump discharge not fully detailed; continuity of standpipe system and interconnection between garage and low zone unclear.
176,Fire Protection,FP-32_SCHEMATIC GARAGE ZONE + LOW ZONE.pdf,"PRV chart lists outlet pressures but not specific hose valve model numbers, settings, and locations by stair/level; field setting and inspection of PRVs may be difficult without clearer identification."
177,Fire Protection,FP-32_SCHEMATIC GARAGE ZONE + LOW ZONE.pdf,No indication of how PRV discharge and upstream pressures were derived (no reference to pump curve or hydraulic calc inputs); ability to verify NFPA 14 pressure limits is unclear.
178,Fire Protection,FP-32_SCHEMATIC GARAGE ZONE + LOW ZONE.pdf,"Interface between garage zone and low zone, including check valves, isolation valves, and flow meters, not fully labeled; system zoning and shutdown strategy unclear."
179,Fire Protection,FP-32_SCHEMATIC GARAGE ZONE + LOW ZONE.pdf,Fire department connection locations and pipe sizes are symbolized but not tied to site plan or elevation; confirmation of fire department access and elevation above flood level is needed.
180,Fire Protection,FP-32_SCHEMATIC GARAGE ZONE + LOW ZONE.pdf,No explicit notation of required standpipe classification (Class I/III) and whether automatic wet/dry; coordination with code and architectural stair drawings unclear.
181,Fire Protection,FP-33_SCHEMATIC HIGH ZONE.pdf,High zone riser schematic shows pressures at levels but omits pipe sizes and material specs for many risers; constructability and hydraulic compliance cannot be confirmed.
182,Fire Protection,FP-33_SCHEMATIC HIGH ZONE.pdf,"Transition between low zone and high zone at the break levels is not clearly detailed (valving, backflow, PRVs); risk of misconnection or incorrect field installation."
183,Fire Protection,FP-33_SCHEMATIC HIGH ZONE.pdf,PRV chart for high zone does not clearly associate each PRV with stair number and riser designation; potential confusion during installation and inspection.
184,Fire Protection,FP-33_SCHEMATIC HIGH ZONE.pdf,No indication of maximum and minimum residual pressures at hose valves for various demand conditions; NFPA 14 compliance with 100 psi max at outlets not verifiable.
185,Fire Protection,FP-33_SCHEMATIC HIGH ZONE.pdf,Coordination between high-zone pumps and standpipe/roof manifold not clearly dimensioned; routing through building structure and conflicts with other trades are uncertain.
186,Fire Protection,FP-33_SCHEMATIC HIGH ZONE.pdf,Seismic bracing requirements for high-zone standpipes and risers are not indicated on schematic; need reference to separate seismic bracing details or specifications.
187,Fire Protection,,---
188,Fire Protection,FP-34_SECTION.pdf,"FP sections show overall building stack but no indication of fire riser main routing, standpipe locations, or vertical sprinkler mains; continuity of FP systems between floors is unclear."
189,Fire Protection,FP-34_SECTION.pdf,No fire-rated shaft or enclosure information is shown for FP risers/standpipes; coordination with architectural rated shafts and stair cores cannot be verified.
190,Fire Protection,FP-34_SECTION.pdf,"Stair and elevator cores are shown architecturally but there is no indication of standpipe hose valve locations or intermediate landing elevations, making compliance with NFPA 14 unclear."
191,Fire Protection,FP-34_SECTION.pdf,"No fire pump room location, access, or elevation is indicated in section; ability to maintain required clearances, flood protection, and separation cannot be confirmed."
192,Fire Protection,FP-35_DETAILS.pdf,"Multiple typical sprinkler and piping details are provided, but there is no explicit reference back to specific plans/areas where each detail applies, which may cause ambiguity during installation."
193,Fire Protection,FP-35_DETAILS.pdf,Seismic bracing details (if applicable to this Seismic Design Category) are not clearly identified or referenced; unclear if lateral bracing requirements for mains and risers are addressed.
194,Fire Protection,FP-35_DETAILS.pdf,"Penetration details do not clearly distinguish between fire-rated and non-rated assemblies nor reference UL assemblies or firestop systems, leaving fire-rating compliance ambiguous."
195,Fire Protection,FP-35_DETAILS.pdf,"Sprinkler mounting details do not show coordination with specific ceiling types/soffits (e.g., hard lid vs. ACT vs. cloud ceilings); risk of conflicts with architectural RCPs."
196,Fire Protection,FP-35_DETAILS.pdf,Note limiting submerged lines to 50 ft is provided without clear indication of where submerged piping occurs in the building; potential for misapplication or code conflict in parking/underground areas.
197,Fire Protection,FP-35_DETAILS.pdf,Flexible drop detail does not indicate maximum allowable length or number of bends per NFPA 13; hydraulic impact and installation compliance are unclear.
198,Fire Protection,FP-35_DETAILS.pdf,"Hose valve / wall outlet details are very small and not dimensioned for mounting height, clearances, or orientation relative to door swings; constructability and ADA/egress coordination unclear."
199,Fire Protection,Faena - 50% CD - Architecture.pdf,"Architectural cover sheet does not list or reference fire-resistance ratings, exit stair pressurization, or coordination notes related to FP systems; no cross-reference to FP drawings for life safety strategy."
200,Fire Protection,Index,"Mechanical index/cover does not identify any required coordination zones for ductwork vs. FP mains, nor any notes on stair/elevator pressurization interaction with standpipes and sprinklers."
201,Fire Protection,Faena - 50% CD - Plumbing.pdf,"Site utility plan shows domestic and sanitary services, but no clear indication of fire water service entry, backflow, or underground fire main routing; FP supply coordination with civil/plumbing is unclear."
202,Fire Protection,Faena - 50% CD - Plumbing.pdf,"Plumbing general notes do not address shared or separated domestic/fire services, required meters, or backflow devices for fire protection; potential conflict with FP underground design."
203,Fire Protection,Faena - 50% CD - Plumbing.pdf,"Legend includes many plumbing symbols but does not identify any fire protection-related underground symbols (e.g., PIV, FDC, hydrant, fire main), making coordination of exterior FP infrastructure ambiguous."
204,Fire Protection,,---
205,Fire Protection,Faena - 50% CD - Civil.pdf,"Civil general notes do not reference coordination with fire protection systems (hydrants, FDC locations, underground fire mains); responsibilities and required FP shop drawing coordination for site utilities are unclear."
206,Fire Protection,Faena - 50% CD - Electrical.pdf,"Electrical legend and general notes do not reference coordination with fire alarm or fire protection devices (flow/tamper switches, fire pump power, fire alarm interfaces); interface requirements between FP and electrical systems are not defined."
207,Fire Protection,Faena - 50% CD - Specifications.pdf,"Division 01 summary does not explicitly list Division 21 Fire Protection as part of the work covered or identify FP as a coordinated discipline, creating ambiguity on FP scope, responsibilities, and required coordination meetings."
208,Fire Protection,210000 - Fire protection index.pdf,"Fire protection index lists standpipes and wet-pipe sprinklers but does not reference fire pump, fire water storage, or underground fire service mains; unclear where these critical components are specified."
209,Fire Protection,210000 - Fire protection index.pdf,No specification sections listed for seismic bracing of fire protection piping; seismic design and installation requirements are undefined.
210,Fire Protection,210500 - Common work results for fire protection.pdf,Specification states building/area will be “fully sprinklered (exception only as per local code)” but does not define criteria for non-sprinklered special hazard or concealed spaces; coverage limits and exceptions are ambiguous.
211,Fire Protection,210500 - Common work results for fire protection.pdf,"Section notes “combination standpipe and sprinkler riser system” but does not clarify class of standpipe (Class I/III), number of risers, or coordination with architectural stair layouts; standpipe design intent is unclear."
212,Fire Protection,210500 - Common work results for fire protection.pdf,Requirement for dry-type sprinkler systems in areas exposed to freezing does not identify which areas are considered subject to freezing; locations and extent of dry systems are not defined for coordination.
213,Fire Protection,210500 - Common work results for fire protection.pdf,"Specification requires hydraulic calculations and shop drawings but does not state minimum design criteria (occupancy hazard classifications, design densities, hose allowances, water supply safety factors); basis-of-design for sprinkler/standpipe sizing is incomplete."
214,Fire Protection,210500 - Common work results for fire protection.pdf,"Submittal review requirements reference governing authorities and insurers but do not define required sequence relative to other trades (e.g., ceiling layouts, mechanical coordination), risking late FP coordination."
215,Fire Protection,210500 - Common work results for fire protection.pdf,"Related sections list Division 21 Fire Protection generically but do not cross-reference specific FP spec sections (standpipes, sprinklers, testing) or architectural firestopping sections; penetration fire-rating responsibilities remain ambiguous."
216,Fire Protection,,---
217,Fire Protection,File: 210505 - General materials and methods.pdf,"General materials list references “piping materials and installation instructions common to most piping systems,” but no explicit coordination is stated with NFPA 13/14/20 for fire protection piping materials and methods; clarify that FP piping must comply with applicable NFPA standards."
218,Fire Protection,File: 210505 - General materials and methods.pdf,"Note that “This section is a part of each Division 21” may create conflicts with more specific FP sections (e.g., sprinklers, standpipes); request clarification on precedence when requirements differ to avoid constructability disputes."
219,Fire Protection,File: 210517 - Sleeves and sleeve seals for fire-suppression piping.pdf,"Sleeve materials and stack-sleeve fittings are defined, but there is no explicit requirement that sleeves and seals in fire-rated assemblies be UL-listed or compatible with specified firestopping systems; clarify rating and listing requirements for penetrations of rated walls/floors."
220,Fire Protection,File: 210517 - Sleeves and sleeve seals for fire-suppression piping.pdf,"Sleeve sizes and annular space requirements are not stated; request dimensional criteria (min/max oversizing, annular space for firestopping) to ensure field installations meet code and manufacturer requirements."
221,Fire Protection,File: 210518 - Escutcheons for fire-suppression piping.pdf,Installation requirements for escutcheons do not address use in fire-rated assemblies or compatibility with firestopping systems; clarify if separate fire-rated escutcheons are required at rated penetrations and how they coordinate with firestopping details.
222,Fire Protection,File: 210518 - Escutcheons for fire-suppression piping.pdf,Escutcheon product descriptions are aesthetic/construction focused but do not state minimum size ranges or coordination with ceiling types (hard vs. lay-in); request guidance to avoid field selection conflicts with sprinkler escutcheons and ceiling conditions.
223,Fire Protection,File: 210519 - Meters and gauges.pdf,"Section states it includes meters and gauges for FP systems and water meters outside the building, but does not clearly distinguish which components are by utility vs. contractor; request delineation of scope and responsibilities for exterior FP water meters."
224,Fire Protection,File: 210519 - Meters and gauges.pdf,"Submittal requirements call for detailed product data and certificates but do not reference NFPA 13/14/20 location and arrangement requirements (e.g., gauges at risers, pumps, test headers); request confirmation that meter/gauge locations and ranges will be coordinated with NFPA layouts on FP drawings."
225,Fire Protection,File: 210529 - Hangers and supports.pdf,Summary lists various isolation mounts and supports but does not clearly state which items apply specifically to fire-suppression piping vs. other systems; clarify which hanger/isolator types are required for FP piping to avoid over- or under-design.
226,Fire Protection,File: 210529 - Hangers and supports.pdf,"Related documents reference “Vibration Controls For Fire Protection Systems (Non-Seismic)” but there is no mention of seismic bracing or hangers if required by code for this project location; confirm whether seismic restraint of FP piping is required and, if so, identify governing spec section and design criteria."
227,Fire Protection,,---
228,Fire Protection,File: 210553 - Identification for fire-suppression piping and equipment.pdf,Identification spec references “Equipment-Label Schedule” and “Valve Schedules” but no schedule location or format is defined; clarify where these are provided for coordination.
229,Fire Protection,File: 210553 - Identification for fire-suppression piping and equipment.pdf,"Requirement to install identifying devices before acoustical ceilings is noted, but no coordination reference to architectural RCPs or ceiling access requirements; request clarification to avoid concealed or inaccessible tags."
230,Fire Protection,File: 210800 - Fire protection testing.pdf,"Section lists “basic fire protection materials and methods” but does not clearly enumerate which FP systems (sprinklers, standpipes, pumps, alarms, etc.) are covered; clarify scope so required testing is not omitted."
231,Fire Protection,File: 210800 - Fire protection testing.pdf,"Testing is to be in accordance with “relevant NFPA standards” but specific NFPA documents (e.g., NFPA 13, 14, 20, 25) are not identified; lack of explicit references may cause interpretation issues with AHJ and contractor."
232,Fire Protection,File: 210800 - Fire protection testing.pdf,Independent testing agency requirements are mentioned but no criteria for agency qualification or responsibility for engagement/payment are defined; request clarification for constructability and bidding.
233,Fire Protection,File: 211200 - Fire-suppression standpipes.pdf,"Only “Automatic Wet-Type, Class I Standpipe System” is described; no indication if other standpipe classes/types are required elsewhere in building (e.g., Class III, combined systems), creating ambiguity for design and sizing."
234,Fire Protection,File: 211200 - Fire-suppression standpipes.pdf,"Section includes “control panels” and “manual control stations” but no coordination reference to Division 28/26 for power, monitoring, and locations; potential conflict with fire alarm and electrical layouts."
235,Fire Protection,File: 211313 - Wet pipe sprinkler systems.pdf,"“Complete system shall include all fire department connections, roof manifolds, hose stations…” but standpipe and hose station responsibilities may overlap with Section 21 12 00; clarify division of scope to avoid gaps/duplication."
236,Fire Protection,File: 211313 - Wet pipe sprinkler systems.pdf,"Areas exposed to freezing are to have dry pipe systems, but no criteria or list of such areas is provided; contractor cannot determine extent of dry vs. wet without further direction."
237,Fire Protection,File: 211313 - Wet pipe sprinkler systems.pdf,"Spec requires hydraulic calculations and AHJ/insurer approvals before work, but does not define required design criteria (density/area, hazard classifications by space, water supply data) on this page; constructability and pricing are unclear."
238,Fire Protection,"File: 213113 - Electric-drive, centrifugal fire pumps.pdf","Section lists numerous fire-pump-related components (controllers, transfer switches, alarm panels, flowmeter systems) but does not indicate which are by FP vs. Electrical/Controls trades; need responsibility matrix for coordination."
239,Fire Protection,"File: 213113 - Electric-drive, centrifugal fire pumps.pdf","Fire pump motor horsepower is to match an unspecified “Schedule”; schedule location and required duty point (gpm/psi) are not defined on this page, creating ambiguity for pump selection and pricing."
240,Fire Protection,"File: 213113 - Electric-drive, centrifugal fire pumps.pdf","Shop drawing requirements list equipment details but do not state minimum clearances around pump, controller, and accessories for maintenance and code compliance; need explicit clearance criteria to coordinate fire pump room layout."
