Item No.,Discipline,Reference Drawing(s)/Location,Observation/Comments
41,"**[Fire Protection] – FP-03_LEVEL3 - FIRE PROTECTION.pdf, Page 1 – Residential/guestroom corridors at left; FP-21_LEVEL63 - FIRE PROTECTION.pdf, Page 1 – Guestroom/corridor areas; FP-17_LEVEL49-59 - RESIDENTIAL - FIRE PROTECTION.pdf, Page 1 – Overall plan**  
    Observation",Corridor sprinklers appear centered but distances to corridor walls and end walls are not dimensioned. Potential noncompliance with corridor spacing and end,head requirements; request corridor sprinkler dimensioning and confirmation of end coverage.
42,"**[Fire Protection] – FP-03_LEVEL3 - FIRE PROTECTION.pdf, Page 1 – Parking/large open area diagonal bay; FP-07_LEVEL7 - FIRE PROTECTION.pdf, Page 1 – Parking ramp and sloped deck areas; FP-08_LEVEL8 - FIRE PROTECTION.pdf, Page 1 – Garage region; FP-09_LEVEL9 - FIRE PROTECTION.pdf, Page 1 – Garage/parking region**  
    Observation",Sloped/stepped garage areas with varying ceiling elevations and large beams/transfer girders lack detailed sprinkler elevations and obstruction checks. Request garage,specific sections and head layouts addressing ramps and beams.
43,"**[Fire Protection] – FP-04_LEVEL4 - FIRE PROTECTION.pdf, Page 1 – Large open area center/right; FP-20_LEVEL62 - FIRE PROTECTION.pdf, Page 1 – Large assembly/dining spaces; FP-21_LEVEL63 - FIRE PROTECTION.pdf, Page 1 – Large open function spaces**  
    Observation",Large open areas show grid,"like sprinkler layouts without dimensions or obstruction analysis around columns and drop panels. Need confirmation of spacing, density, and clearance around structural members."
44,"**[Fire Protection] – FP-05_LEVEL5 - FIRE PROTECTION.pdf, Page 1 – Added perimeter building massing; FP-08_LEVEL8 - FIRE PROTECTION.pdf, Page 1 – Exterior terrace/balcony outlines; FP-11_LEVEL11 - FIRE PROTECTION.pdf, Page 1 – Exterior amenity deck; FP-14_LEVEL24-35 - RESIDENTIAL - FIRE PROTECTION.pdf, Page 1 – Perimeter terraces/balconies; FP-16_LEVEL37-48 - RESIDENTIAL - FIRE PROTECTION.pdf, Page 1 – Unit balconies/edge conditions; FP-17_LEVEL49-59 - RESIDENTIAL - FIRE PROTECTION.pdf, Page 1 – Residential units and balconies; FP-19_LEVEL61 - FIRE PROTECTION.pdf, Page 1 – Outdoor terrace and seating; FP-20_LEVEL62 - FIRE PROTECTION.pdf, Page 1 – Exterior terraces and pool-side areas; FP-22_LEVEL64 - FIRE PROTECTION.pdf, Page 1 – Exterior perimeter; FP-23_LEVEL65 - FIRE PROTECTION.pdf, Page 1 – Residential Units and Balconies; FP-25_LEVEL67 - FIRE PROTECTION.pdf, Page 1 – Public Lobby and Amenity Areas; FP-26_LEVEL68 - FIRE PROTECTION.pdf, Page 1 – Roof amenity areas; FP-27_LEVEL69 - FIRE PROTECTION.pdf, Page 1 – Exterior terrace/perimeter areas; FP-28_LEVEL70 - FIRE PROTECTION.pdf, Page 1 – Roof/exposed areas; Faena - 50% CD - Architecture.pdf, Page 80 – Sheet A1107A – Balconies/terraces**  
    Observation","Exterior terraces, balconies, and semi","exterior amenity areas are not clearly designated as sprinkled or unsprinkled, and no explicit notes clarify code intent. Request clear indication of which exterior covered/overhung areas require sprinklers and basis for any omissions."
45,"**[Fire Protection] – FP-06_LEVEL6 - FIRE PROTECTION.pdf, Page 1 – Roof/ceiling interface; FP-06_LEVEL6 - FIRE PROTECTION.pdf, Page 1 – Attic/void; FP-11_LEVEL11 - FIRE PROTECTION.pdf, Page 1 – Pool and surrounding structures; FP-26_LEVEL68 - FIRE PROTECTION.pdf, Page 1 – Overall Level 68/Roof Plan; FP-28_LEVEL70 - FIRE PROTECTION.pdf, Page 1 – Roof/exposed areas**  
    Observation","Portions of upper levels appear directly under roof structure with potential attic/void spaces, but no information is provided on sprinkler protection or draft curtains. Request clarification of attic/void protection strategy and any special corrosion",resistant materials near pool areas.
46,"**[Fire Protection] – FP-10_LEVEL10 - FIRE PROTECTION.pdf, Page 1 – Large mechanical/utility room; FP-15_LEVEL36 - MECHANICAL - FIRE PROTECTION.pdf, Page 1 – Mechanical equipment rooms; FP-18_LEVEL60 - MECHANICAL - FIRE PROTECTION.pdf, Page 1 – Mechanical/equipment rooms; FP-12_LEVEL12 - FIRE PROTECTION.pdf, Page 1 – Mechanical/electrical rooms**  
    Observation","Mechanical and utility rooms with large equipment are shown with limited sprinkler detail and no clear differentiation of hazard classification (Ordinary/Extra Hazard vs Light Hazard). Request classification and head/density requirements for these rooms.

47. **[Fire Protection] – FP","11_LEVEL11 - FIRE PROTECTION.pdf, Page 1 – Overall Level 11 including roof deck/pool area; FP-19_LEVEL61 - FIRE PROTECTION.pdf, Page 1 – Restaurant/dining and bar areas; FP-20_LEVEL62 - FIRE PROTECTION.pdf, Page 1 – Large assembly/dining spaces; FP-21_LEVEL63 - FIRE PROTECTION.pdf, Page 1 – Transition between residential and amenity zones**"
48,"**[Fire Protection] – FP-13_LEVEL14-23 - RESIDENTIAL - FIRE PROTECTION.pdf, Page 1 – Riser/shaft areas; FP-14_LEVEL24-35 - RESIDENTIAL - FIRE PROTECTION.pdf, Page 1 – Riser/shaft areas; FP-16_LEVEL37-48 - RESIDENTIAL - FIRE PROTECTION.pdf, Page 1 – Stair/elevator cores; FP-17_LEVEL49-59 - RESIDENTIAL - FIRE PROTECTION.pdf, Page 1 – Around elevator lobbies and stairs; FP-21_LEVEL63 - FIRE PROTECTION.pdf, Page 1 – Transition between residential and amenity zones**  
    Observation","Riser sizes, materials, and vertical continuity between residential and amenity zones are not indicated on floor plans, and zoning/sectional valve locations are unclear. Reliance on separate schematics without cross",references may cause constructability issues; request plan callouts tying to riser schematics.
49,"**[Fire Protection] – FP-17_LEVEL49-59 - RESIDENTIAL - FIRE PROTECTION.pdf, Page 1; FP-18_LEVEL60 - MECHANICAL - FIRE PROTECTION.pdf, Page 1; FP-19_LEVEL61 - FIRE PROTECTION.pdf, Page 1; FP-20_LEVEL62 - FIRE PROTECTION.pdf, Page 1; FP-21_LEVEL63 - FIRE PROTECTION.pdf, Page 1 – Title block/legends**  
    Observation","Legend does not clearly differentiate standard, residential, sidewall, and dry",type sprinklers or identify where each type is used. Risk of misinterpretation during installation; request expanded legend and head schedule.
50,"**[Fire Protection] – FP-17_LEVEL49-59 - RESIDENTIAL - FIRE PROTECTION.pdf, Page 1; FP-18_LEVEL60 - MECHANICAL - FIRE PROTECTION.pdf, Page 1; FP-19_LEVEL61 - FIRE PROTECTION.pdf, Page 1; FP-20_LEVEL62 - FIRE PROTECTION.pdf, Page 1; FP-21_LEVEL63 - FIRE PROTECTION.pdf, Page 1 – Perimeter façade**  
    Observation","Interface of sprinklers with exterior glass/curtain walls and any required perimeter water curtains is not indicated. Clarify whether perimeter window sprinklers or water curtains are required by code or performance criteria.

51. **[Fire Protection] – FP","22_LEVEL64 - FIRE PROTECTION.pdf, Page 1 – Overall Level 64 Plan; FP-23_LEVEL65 - FIRE PROTECTION.pdf, Page 1 – Overall Level 65 Plan; FP-24_LEVEL66 - FIRE PROTECTION.pdf, Page 1 – Overall Level 66 Plan; FP-25_LEVEL67 - FIRE PROTECTION.pdf, Page 1 – Overall Level 67 Plan; FP-26_LEVEL68 - FIRE PROTECTION.pdf, Page 1 – Overall Level 68/Roof Plan; FP-27_LEVEL69 - FIRE PROTECTION.pdf, Page 1 – Overall Level 69 Plan; FP-28_LEVEL70 - FIRE PROTECTION.pdf, Page 1 – Overall Level 70 Plan**"
52,"**[Fire Protection] – FP-26_LEVEL68 - FIRE PROTECTION.pdf, Page 1 – Roof Manifold Notes (Top and Left Plans)**  
    Observation","Roof manifold annotation (e.g., 500 gpm @ 110 psi) is not tied to a clear riser diagram or pipe sizing on this sheet. Hydraulic adequacy and routing to manifolds are unclear; request linkage to schematics and pipe sizing.

53. **[Fire Protection] – FP","27_LEVEL69 - FIRE PROTECTION.pdf, Page 1 – Sprinkler head locations and spacing**"
54,"**[Fire Protection] – FP-28_LEVEL70 - FIRE PROTECTION.pdf, Page 1 – Sprinkler layout for penthouse/roof structures**  
    Observation","Sprinkler layout for penthouse/roof structures is not clearly depicted; head spacing, coverage, and identification of wet vs dry systems are not verifiable. Request detailed roof/penthouse FP plan.

55. **[Fire Protection] – Faena","50% CD - Fire Protection.pdf, Page 1 – General notes area**"
56,"**[Fire Protection] – 210500 - Common work results for fire protection.pdf, Page 1 – Section 1.1.A.1**  
    Observation","Spec states “Building or area will be fully sprinklered (exception only as per local code)” but does not identify any known unsprinklered spaces (e.g., electrical rooms, small closets). Request schedule of any exceptions for coordination.

57. **[Fire Protection] – 210517","Sleeves and sleeve seals for fire-suppression piping.pdf, Page 1 – Section 2.2.A**"
58,"**[Fire Protection] – FP-19_LEVEL61 - FIRE PROTECTION.pdf, Page 1 – “Open to above” atrium area**  
    Observation",Large “OPEN TO ABOVE” atrium appears with limited indication of sidewall/ceiling sprinklers or atrium,"specific protection. Confirm design approach, including any smoke control integration and additional sprinklers at balconies."
59,"**[Fire Protection] – FP-19_LEVEL61 - FIRE PROTECTION.pdf, Page 1 – Kitchen and back-of-house**  
    Observation",Kitchen and back,of-house areas show standard sprinklers only; no clear indication of hood suppression tie-in or special hazard systems for cooking equipment. Request coordination between hood systems and building FP.
60,"**[Fire Protection] – FP-21_LEVEL63 - FIRE PROTECTION.pdf, Page 1 – Stair pressurization and FP; FP-06_LEVEL6 - FIRE PROTECTION.pdf, Page 1 – Coordination with mechanical pressurization; FP-15_LEVEL36 - MECHANICAL - FIRE PROTECTION.pdf, Page 1 – Stair pressurization/MEP shafts; FP-26_LEVEL68 - FIRE PROTECTION.pdf, Page 1 – Stair Exits to Roof; Fanea - 50% CD - Mechanical.pdf, Page 1 – Sheet M-001 Mechanical Drawing List**  
    Observation","Coordination between stair pressurization ductwork and standpipe/sprinkler piping within stairs and shafts is not depicted. Mechanical index does not reference FP/stair pressurization coordination notes. Request combined mechanical/FP coordination details for stairs and shafts.

61. **[Fire Protection] – Faena","50% CD - Plumbing.pdf, Page 1 – Sheet P-001 Plumbing Notes & Symbols**"
62,"**[Fire Protection] – FP-32_SCHEMATIC GARAGE ZONE + LOW ZONE.pdf, Page 1 – Garage Zone schematic at lower left**  
    Observation","Standpipe and sprinkler riser sizes, materials, and exact routing through garage levels are not fully dimensioned. Request detailed garage riser diagram with clear pipe sizes and routing.

63. **[Fire Protection] – FP","35_DETAILS.pdf, Page 1 – Notes block near center (sprinkler spacing note)**"
