Item No.,Discipline,Severity,Reference Drawing(s)/Location,Observation/Comments
139,Fire Protection,Critical,FP-21_LEVEL63 - FIRE PROTECTION.pdf,"Numerous door swings and potential corridor soffits may obstruct sprinklers, but no sidewall heads or adjustments are shown; need coordination to avoid blocked discharge patterns."
140,Fire Protection,Critical,FP-21_LEVEL63 - FIRE PROTECTION.pdf,Many small bathrooms and closets appear without sprinklers and no notation that they qualify for omission; confirmation of omissible spaces and any combustible concealed spaces above ceilings is required.
141,Fire Protection,Critical,FP-21_LEVEL63 - FIRE PROTECTION.pdf,Hose valve locations and standpipe riser routing are not indicated in stairs; compliance with IBC/NFPA 14 for hose valves at intermediate landings and roof is unclear.
142,Fire Protection,Critical,FP-21_LEVEL63 - FIRE PROTECTION.pdf,Edge units with balconies/overhangs do not show balcony sprinklers; need clarification if balconies are combustible or require protection per NFPA 13.
143,Fire Protection,Critical,FP-22_LEVEL64 - FIRE PROTECTION.pdf,"Sprinkler head spacing and design density are not identified; layout appears schematic without dimensions, making constructability and code compliance uncertain."
144,Fire Protection,Critical,FP-22_LEVEL64 - FIRE PROTECTION.pdf,Connecting corridor over exterior space shows limited or no sprinkler heads; need clarification on whether this is conditioned/interior requiring full coverage or an exterior open walkway.
145,Fire Protection,Critical,FP-22_LEVEL64 - FIRE PROTECTION.pdf,Multiple balconies and outdoor spaces lack sprinkler indication; requirement for balcony sprinklers under projections and for combustible construction is not addressed.
146,Fire Protection,Critical,FP-22_LEVEL64 - FIRE PROTECTION.pdf,Standpipe hose valve symbols are not clearly shown; confirm location and number of hose valves on this level and any required vestibule protection.
147,Fire Protection,Critical,FP-22_LEVEL64 - FIRE PROTECTION.pdf,No details or notes for FP piping penetrations through rated walls/shafts; firestopping assemblies and sleeve requirements are not indicated.
148,Fire Protection,Critical,FP-23_LEVEL65 - FIRE PROTECTION.pdf,"Top residential level sprinkler layout is schematic with no spacing dimensions or NFPA design criteria; unclear if coverage is adequate, especially near exterior walls and corners."
149,Fire Protection,Critical,FP-23_LEVEL65 - FIRE PROTECTION.pdf,"Units at uppermost level near roof may have sloped or varying ceiling heights, but sprinkler types and elevations are not coordinated with architectural roof/ceiling profiles."
150,Fire Protection,Critical,FP-23_LEVEL65 - FIRE PROTECTION.pdf,Perimeter balconies/roof-edge terraces do not show sprinkler heads; need determination if these are required to be protected based on construction type and fire separation distance.
151,Fire Protection,Critical,FP-23_LEVEL65 - FIRE PROTECTION.pdf,Standpipe extension to roof and hose valve at roof/stair landing are not depicted; confirm standpipe continuation and fire department access at highest landing.
152,Fire Protection,Critical,FP-23_LEVEL65 - FIRE PROTECTION.pdf,"No level-specific indication of system type (wet vs dry/preaction) or zoning for upper floors; need clarification on zoning, floor control valve locations, and isolation for maintenance and testing."
153,Fire Protection,Critical,FP-24_LEVEL66 - FIRE PROTECTION.pdf,Sprinkler head spacing is not dimensioned; compliance with NFPA area/spacing limits cannot be verified.
154,Fire Protection,Critical,FP-24_LEVEL66 - FIRE PROTECTION.pdf,No sprinkler heads are shown within dwelling units; clarify if units are fully sprinklered or if an omission is intended.
155,Fire Protection,Critical,FP-24_LEVEL66 - FIRE PROTECTION.pdf,Sprinkler layout not shown in corridors/lobbies; need confirmation of coverage and coordination with ceiling/soffits.
156,Fire Protection,Critical,FP-24_LEVEL66 - FIRE PROTECTION.pdf,Standpipe riser and hose valve locations are not indicated in stairs; routing and required intermediate landings valves are unclear.
157,Fire Protection,Critical,FP-24_LEVEL66 - FIRE PROTECTION.pdf,Sprinkler protection of service rooms not clearly indicated; verify coverage and any special-hazard requirements.
158,Fire Protection,Critical,FP-24_LEVEL66 - FIRE PROTECTION.pdf,No indication whether exterior balconies/terraces require sprinklers; need clarification based on building code and exposure.
159,Fire Protection,Critical,FP-24_LEVEL66 - FIRE PROTECTION.pdf,No coordination shown with architectural reflected ceiling plans or major ductwork/soffits; potential for hidden obstructions to sprinklers.
160,Fire Protection,Critical,FP-24_LEVEL66 - FIRE PROTECTION.pdf,Penetrations for sprinkler piping through fire-rated walls/shafts are not detailed; firestopping and sleeve requirements unclear.
161,Fire Protection,Critical,FP-25_LEVEL67 - FIRE PROTECTION.pdf,Sprinkler head locations and spacing not shown or dimensioned; cannot confirm NFPA-compliant coverage.
162,Fire Protection,Critical,FP-25_LEVEL67 - FIRE PROTECTION.pdf,"Interior of units lacks indicated sprinklers; confirm whether concealed or deferred design, and ensure no unsprinklered spaces."
163,Fire Protection,Critical,FP-25_LEVEL67 - FIRE PROTECTION.pdf,No clear sprinkler layout in corridors and public lobby areas; need confirmation of head locations and spacing.
164,Fire Protection,Critical,FP-25_LEVEL67 - FIRE PROTECTION.pdf,Standpipe risers and hose valve locations not identified; verify compliance with required hose valve placement each floor.
165,Fire Protection,Critical,FP-25_LEVEL67 - FIRE PROTECTION.pdf,"Sprinkler protection of electrical, telecom, and mechanical rooms not indicated; special hazard coordination not shown."
166,Fire Protection,Critical,FP-25_LEVEL67 - FIRE PROTECTION.pdf,No indication of sprinklers on exterior amenity terraces; clarify requirement and any exposure protection needed.
167,Fire Protection,Critical,FP-25_LEVEL67 - FIRE PROTECTION.pdf,"FP plan does not show seismic bracing, hanger spacing, or coordination with structure; constructability and code compliance unclear."
168,Fire Protection,Critical,FP-26_LEVEL68 - FIRE PROTECTION.pdf,Sprinkler heads are not graphically shown in most areas; coverage and spacing cannot be verified.
169,Fire Protection,Critical,FP-26_LEVEL68 - FIRE PROTECTION.pdf,Large roof amenity spaces and pool deck appear unsprinklered; need clarification on exterior hazard protection and any water curtains.
170,Fire Protection,Critical,FP-26_LEVEL68 - FIRE PROTECTION.pdf,"“Roof manifold” callouts provided but no piping routing, sizes, or valving shown; constructability and hydraulic zoning unclear."
171,Fire Protection,Critical,FP-26_LEVEL68 - FIRE PROTECTION.pdf,Standpipe and hose valve locations at this level not shown; confirm continuation of risers and valve placement.
172,Fire Protection,Critical,FP-26_LEVEL68 - FIRE PROTECTION.pdf,Sprinkler protection of mechanical/electrical rooms at roof level not indicated; need confirmation of coverage and any exemptions.
173,Fire Protection,Critical,FP-26_LEVEL68 - FIRE PROTECTION.pdf,"No detail for sprinkler coverage under roof overhangs, canopies, or soffits; potential hidden combustible spaces not addressed."
174,Fire Protection,Critical,FP-27_LEVEL69 - FIRE PROTECTION.pdf,Sprinkler head layout largely absent; NFPA-compliant spacing and density cannot be verified.
175,Fire Protection,Critical,FP-27_LEVEL69 - FIRE PROTECTION.pdf,Interior rooms on this level show no sprinkler symbols; need confirmation if protection is omitted or shown on another drawing.
176,Fire Protection,Critical,FP-27_LEVEL69 - FIRE PROTECTION.pdf,Standpipe and hose valve locations not identified; confirm riser continuation and valve at each floor landing.
177,Fire Protection,Critical,FP-27_LEVEL69 - FIRE PROTECTION.pdf,No indication of sprinklers at perimeter overhangs or covered exterior spaces; coordination with architectural roof design needed.
178,Fire Protection,Critical,FP-27_LEVEL69 - FIRE PROTECTION.pdf,"No seismic bracing, hanger, or main routing shown; may conflict with roof framing and mechanical ductwork."
179,Fire Protection,Critical,FP-28_LEVEL70 - FIRE PROTECTION.pdf,"Very limited FP information; sprinkler heads and piping not shown, so coverage of penthouse/roof structures cannot be confirmed."
180,Fire Protection,Critical,FP-28_LEVEL70 - FIRE PROTECTION.pdf,Sprinkler protection for penthouse equipment rooms not indicated; verify if rooms are sprinklered or exempt.
181,Fire Protection,Critical,FP-28_LEVEL70 - FIRE PROTECTION.pdf,"Standpipe termination, roof hose valve, and test header arrangement at top of stairs not shown; need detail for NFPA 14 compliance."
182,Fire Protection,Critical,FP-28_LEVEL70 - FIRE PROTECTION.pdf,"No details for sprinkler coverage under roof canopies, mechanical screens, or concealed spaces; potential unprotected combustible voids."
183,Fire Protection,Critical,FP-28_LEVEL70 - FIRE PROTECTION.pdf,"No indication of coordination with roof drainage, mechanical ducts, or architectural soffits; risk of sprinkler obstructions and rework."
184,Fire Protection,Critical,FP-29_FIRE PUMP LOW ZONE.pdf,Fire pump room walls/doors are shown but fire-resistance rating and fire separation requirements from adjacent spaces are not identified; need confirmation of room rating and door type.
185,Fire Protection,Critical,FP-29_FIRE PUMP LOW ZONE.pdf,"Clear floor space and egress path around fire pumps, jockey pump, controllers, and associated equipment are not dimensioned; compliance with NFPA 20 access/maintenance clearances is unclear."
186,Fire Protection,Critical,FP-29_FIRE PUMP LOW ZONE.pdf,"Suction and discharge piping sizes, materials, and exact elevations relative to pump centerline are not labeled; constructability and NFPA 20 minimum straight-run and elevation requirements cannot be verified."
187,Fire Protection,Critical,FP-29_FIRE PUMP LOW ZONE.pdf,"Fire pump suction piping arrangement (number of fittings, reducers, and tees) is diagrammatic only; no confirmation that minimum 10-pipe-diameter straight suction and eccentric reducer orientation are met."
188,Fire Protection,Critical,FP-29_FIRE PUMP LOW ZONE.pdf,Fire pump schedule lists capacities but does not clearly indicate whether pumps are electric or diesel and corresponding power/ventilation/fuel requirements; coordination with architectural/MEP is unclear.
189,Fire Protection,Critical,FP-29_FIRE PUMP LOW ZONE.pdf,Redundancy/standby pump strategy and whether pumps are listed as “duty + standby” per NFPA 20 are not clearly identified; reliability of supply cannot be confirmed.
190,Fire Protection,Critical,FP-29_FIRE PUMP LOW ZONE.pdf,Discharge piping routing from low-zone fire pump to building risers is not tagged with destination riser IDs or zones; connection to building standpipe/sprinkler systems is ambiguous.
191,Fire Protection,Critical,FP-29_FIRE PUMP LOW ZONE.pdf,"Backflow preventer, test header, and flow meter locations are not clearly labeled or dimensioned relative to exterior wall; ability to route discharge to safe location and provide test header access is unclear."
192,Fire Protection,Critical,FP-29_FIRE PUMP LOW ZONE.pdf,"Seismic anchorage details for fire pump, jockey pump, and tanks are not shown; no seismic bracing/anchorage information for piping in pump room is provided."
193,Fire Protection,Critical,FP-29_FIRE PUMP LOW ZONE.pdf,Pressure-reducing valve and pilot-operated valve settings and coordination with standpipe pressures in schematic sheets are not cross-referenced; risk of mismatched field settings.
194,Fire Protection,Critical,FP-29_FIRE PUMP LOW ZONE.pdf,"Room ventilation, drainage (floor drain/sump), and pump room temperature control requirements per NFPA 20 are not indicated; need confirmation that architectural/MEP will provide."
195,Fire Protection,Critical,FP-30_FIRE PUMP HIGH ZONE TOWER 1.pdf,"High-zone fire pump room layout shows pumps, tank, and controllers but does not dimension working clearances or egress path; NFPA 20 access and door swing adequacy cannot be verified."
196,Fire Protection,Critical,FP-30_FIRE PUMP HIGH ZONE TOWER 1.pdf,Fire pump room fire rating and separation from BOH corridor and adjacent spaces are not identified; need confirmation of wall/door ratings and penetrations protection.
197,Fire Protection,Critical,FP-30_FIRE PUMP HIGH ZONE TOWER 1.pdf,"Suction and discharge pipe sizes, elevations, and straight-run lengths into fire pumps are not dimensioned; compliance with NFPA 20 suction piping criteria is unclear."
198,Fire Protection,Critical,FP-30_FIRE PUMP HIGH ZONE TOWER 1.pdf,Relationship between suction tank low water level and pump suction elevation (net positive suction head) is not indicated; risk of inadequate NPSH or cavitation.
199,Fire Protection,Critical,FP-30_FIRE PUMP HIGH ZONE TOWER 1.pdf,Schedule lists pump capacities but does not clearly state number of pumps dedicated to Tower 1 high zone and whether any are standby; redundancy and zoning strategy unclear.
200,Fire Protection,Critical,FP-30_FIRE PUMP HIGH ZONE TOWER 1.pdf,"Fire pump driver type (electric vs. diesel), power characteristics, and automatic transfer requirements are not clearly identified; coordination with electrical and ventilation/fuel systems is ambiguous."
201,Fire Protection,Critical,FP-30_FIRE PUMP HIGH ZONE TOWER 1.pdf,Discharge piping leaving high-zone pumps is not tagged to specific high-zone risers or towers; need explicit identification of which risers/towers each pump serves.
202,Fire Protection,Critical,FP-30_FIRE PUMP HIGH ZONE TOWER 1.pdf,No seismic bracing or anchorage details shown for vertical and overhead piping in pump room; seismic design intent is unclear.
203,Fire Protection,Critical,FP-30_FIRE PUMP HIGH ZONE TOWER 1.pdf,"Anchor bolt size, spacing, and embedment for pump skid and tank supports are not specified; constructability and structural coordination are unclear."
204,Fire Protection,Critical,FP-30_FIRE PUMP HIGH ZONE TOWER 1.pdf,Jockey pump sizing and discharge connection into system are not clearly labeled; risk of improper system maintenance pressure or short-cycling.
205,Fire Protection,Critical,FP-31_FIRE PUMP HIGH ZONE TOWER 2.pdf,"Tower 2 high-zone fire pump room layout mirrors Tower 1 but again lacks dimensioned access clearances around pumps, tanks, and controllers; NFPA 20 access compliance is not verifiable."
206,Fire Protection,Critical,FP-31_FIRE PUMP HIGH ZONE TOWER 2.pdf,Fire-rated separation between Tower 2 fire pump room and adjacent BOH corridor is not identified; door rating and hardware requirements are not shown.
207,Fire Protection,Critical,FP-31_FIRE PUMP HIGH ZONE TOWER 2.pdf,"Suction piping configuration, valve types, and reducer orientation are diagrammatic only; need confirmation straight-run and eccentric reducer flat-top requirements will be met."
208,Fire Protection,Critical,FP-31_FIRE PUMP HIGH ZONE TOWER 2.pdf,Schedule does not clearly differentiate pumps serving Tower 1 vs. Tower 2 high zones; risk of confusion during installation and testing.
209,Fire Protection,Critical,FP-31_FIRE PUMP HIGH ZONE TOWER 2.pdf,Discharge piping from Tower 2 high-zone pumps is not labeled with destination risers or stair designations; zoning and cross-connection strategy ambiguous.
210,Fire Protection,Critical,FP-31_FIRE PUMP HIGH ZONE TOWER 2.pdf,"No information provided on pump test header location, discharge pipe size, and routing to exterior for Tower 2; field testing arrangement unclear."
211,Fire Protection,Critical,FP-31_FIRE PUMP HIGH ZONE TOWER 2.pdf,"Seismic bracing/anchorage for piping, pumps, and tank supports is not indicated; seismic compliance cannot be confirmed."
212,Fire Protection,Critical,FP-32_SCHEMATIC GARAGE ZONE + LOW ZONE.pdf,Standpipe risers are shown for multiple stairs but the continuity from low-zone fire pump discharge to each riser is not clearly tagged; routing and valving sequence between garage and low zone is ambiguous.
213,Fire Protection,Critical,FP-32_SCHEMATIC GARAGE ZONE + LOW ZONE.pdf,Garage sprinkler/standpipe zone isolation valves and sectional control valves are not clearly identified; unclear how zones can be isolated for maintenance without impairing entire system.
214,Fire Protection,Critical,FP-32_SCHEMATIC GARAGE ZONE + LOW ZONE.pdf,"PRV chart lists outlet pressures but does not indicate basis (design flow, hose valve elevation, or code reference); need confirmation that values meet NFPA 14 residual pressure limits at each level."
215,Fire Protection,Critical,FP-32_SCHEMATIC GARAGE ZONE + LOW ZONE.pdf,PRV chart does not clearly cross-reference each valve to specific stair and floor hose valve tag on plans; field identification and commissioning may be difficult.
216,Fire Protection,Critical,FP-32_SCHEMATIC GARAGE ZONE + LOW ZONE.pdf,Static and residual pressures per floor are shown but design flow assumptions (standpipe vs. combined sprinkler/standpipe demand) are not indicated; verification of pump sizing vs. code demand is not possible.
217,Fire Protection,Critical,FP-32_SCHEMATIC GARAGE ZONE + LOW ZONE.pdf,Hose valve locations per floor are implied but not dimensioned or coordinated with stair layouts; need confirmation valves are located on intermediate landings and within required travel distances.
218,Fire Protection,Critical,FP-32_SCHEMATIC GARAGE ZONE + LOW ZONE.pdf,"Connection between low-zone schematic and detailed fire pump drawings (FP-29) is not explicitly tagged (pipe ID, size, elevation); risk of mismatch between pump room installation and riser schematic."
219,Fire Protection,Critical,FP-32_SCHEMATIC GARAGE ZONE + LOW ZONE.pdf,"FDC locations and number of inlets for garage/low zone are not clearly labeled; need confirmation of FDC zoning, pipe sizes, and distance from fire pump room."
220,Fire Protection,Critical,FP-33_SCHEMATIC HIGH ZONE.pdf,High-zone riser schematic for both towers does not clearly indicate where pressure-reducing valves are required vs. standard valves at each level; reliance on separate PRV chart without clear tagging may cause installation errors.
221,Fire Protection,Critical,FP-33_SCHEMATIC HIGH ZONE.pdf,"PRV chart provides inlet/outlet pressures but does not reference NFPA 14 maximum outlet pressure (e.g., 100 psi at 2-1/2 in. hose valve) or identify which valves require field-adjustable vs. factory-set PRVs."
222,Fire Protection,Critical,FP-33_SCHEMATIC HIGH ZONE.pdf,Building height and listed pressures suggest very high static pressures at lower high-zone floors; no indication of intermediate pressure zones or relief valves to prevent overpressure in sprinkler systems tied to standpipes.
223,Fire Protection,Critical,FP-33_SCHEMATIC HIGH ZONE.pdf,Interface between high-zone schematic and high-zone fire pump drawings (FP-30/FP-31) is not clearly labeled with pipe IDs and valve references; potential for misconnection between Tower 1 and Tower 2 high-zone risers.
224,Fire Protection,Critical,FP-33_SCHEMATIC HIGH ZONE.pdf,Hose valve symbols by floor are not coordinated with architectural stair plans; no confirmation that valves are on intermediate landings and located within required distance from stairs/doors.
225,Fire Protection,Critical,FP-33_SCHEMATIC HIGH ZONE.pdf,No seismic design notes or requirements provided for standpipe risers in high zone; seismic bracing and flexible connections at building joints are not addressed.
226,Fire Protection,Critical,FP-33_SCHEMATIC HIGH ZONE.pdf,"Flow test data or design basis (city main pressure, required demand) driving pump sizing and PRV settings is not shown on schematic; ability to verify overall system hydraulic adequacy is limited."
227,Fire Protection,Critical,FP-34_SECTION.pdf,"No fire riser/standpipe routing, vertical main locations, or floor control valve assemblies indicated in this section; unclear how FP piping serves each level."
228,Fire Protection,Critical,FP-34_SECTION.pdf,Stair and shaft areas not shown with standpipe riser locations or hose valve elevations; compliance with NFPA 14 not verifiable.
229,Fire Protection,Critical,FP-34_SECTION.pdf,"No indication of fire pump room location, fire service entrance, or backflow location relative to grade; vertical FP system integration with building not documented."
230,Fire Protection,Critical,FP-34_SECTION.pdf,"Sprinkler coverage, clear heights, and coordination with beams/soffits in garage and podium levels not shown in section; potential for hidden obstructions."
231,Fire Protection,Critical,FP-35_DETAILS.pdf,Seismic bracing details for FP piping not clearly indicated; unclear if system meets NFPA 13 seismic requirements for this risk category.
232,Fire Protection,Critical,FP-35_DETAILS.pdf,"Details show generic pendent/sidewall arrangements but do not address coordination with specific ceiling types, soffits, or cloud ceilings used in project; risk of conflicts with architectural RCPs."
233,Fire Protection,Critical,FP-35_DETAILS.pdf,Flex-head detail provided without maximum length and number of bends limitations; NFPA 13 compliance for equivalent length and friction loss not verifiable.
234,Fire Protection,Critical,FP-35_DETAILS.pdf,No explicit detail for FP pipe penetrations through rated walls/floors and required UL assemblies; firestopping responsibilities and methods are ambiguous.
235,Fire Protection,Critical,FP-35_DETAILS.pdf,"Notes reference design criteria but no specific required density/area, hazard classifications by space type, or water supply test data; contractor design basis is unclear."
236,Fire Protection,Critical,FP-35_DETAILS.pdf,Location and discharge routing for inspector’s test and main drains not coordinated with architectural/site (no indication of where drains terminate).
237,Fire Protection,Critical,A0701 - LIFE SEFETY PLAN - LEVEL 1 - GROUND.pdf,Life safety plan shows exit stairs and rated corridors but does not indicate standpipe hose valve locations at stairs; coordination with FP drawings required.
238,Fire Protection,Critical,A0701 - LIFE SEFETY PLAN - LEVEL 1 - GROUND.pdf,Fire department access route and hydrant locations are not clearly coordinated with FP site piping or fire department connection; ability to meet hose reach requirements is unclear.
239,Fire Protection,Critical,A0701 - LIFE SEFETY PLAN - LEVEL 1 - GROUND.pdf,Occupant loads and use groups listed but not cross-referenced to FP design densities or sprinkler hazard classifications; basis of sprinkler design not documented.
240,Fire Protection,Critical,A0711 - LIFE SAFETY PLAN - LEVEL 11 - RESORT DECK.pdf,"No FP information for exterior resort deck (sprinklers, standpipes, or hose connections); need confirmation of standpipe outlets serving pool deck and any required exterior hydrants or hose stations."
241,Fire Protection,Critical,A0711 - LIFE SAFETY PLAN - LEVEL 11 - RESORT DECK.pdf,"Sprinkler requirements for cabanas, covered walkways, and shade structures are not addressed; unclear which are considered buildings requiring sprinkler protection."
242,Fire Protection,Critical,A0711 - LIFE SAFETY PLAN - LEVEL 11 - RESORT DECK.pdf,Life safety plan shows rated stairs/shafts but does not depict FP risers or hose valves at discharge level; coordination of standpipes and exit discharge protection is unclear.
243,Fire Protection,Critical,A0712 - LIFE SAFETY PLAN - LEVEL 12 - MECHANICAL.pdf,"No indication of sprinkler coverage, special hazard protection, or FP zoning in large mechanical/equipment spaces; need confirmation of sprinkler density, potential clean agent systems, and access to control valves."
244,Fire Protection,Critical,A0712 - LIFE SAFETY PLAN - LEVEL 12 - MECHANICAL.pdf,Standpipe termination and hose valve locations at the highest level are not shown; unclear how fire department will access outlets on roof/mechanical level.
245,Fire Protection,Critical,A0712 - LIFE SAFETY PLAN - LEVEL 12 - MECHANICAL.pdf,"Penetrations of rated mechanical shafts and stair enclosures by FP piping, and coordination with stair pressurization, are not indicated; need details to ensure compliant firestopping and separation."
246,Fire Protection,Critical,A0714 - LIFE SAFETY PLAN - LEVELS 14 TO 23 - RESIDENTIAL.pdf,"No sprinkler head layout, spacing, or coverage shown; FP constructability and NFPA compliance for Levels 14–23 cannot be verified from this sheet."
247,Fire Protection,Critical,A0714 - LIFE SAFETY PLAN - LEVELS 14 TO 23 - RESIDENTIAL.pdf,"Standpipe riser routing, hose valve locations, and floor control valve locations are not indicated; coordination with stairs and rated shafts is unclear."
248,Fire Protection,Critical,A0714 - LIFE SAFETY PLAN - LEVELS 14 TO 23 - RESIDENTIAL.pdf,Penetrations for sprinkler piping through rated walls/shafts are not identified; required firestopping and sleeve details are not coordinated.
249,Fire Protection,Critical,A0714 - LIFE SAFETY PLAN - LEVELS 14 TO 23 - RESIDENTIAL.pdf,"Life safety plan legend does not reference FP drawings, design criteria (NFPA edition, hazard classification, density/area), or water supply/standpipe design basis; FP design assumptions are ambiguous."
250,Fire Protection,Critical,A0714 - LIFE SAFETY PLAN - LEVELS 14 TO 23 - RESIDENTIAL.pdf,"Fire protection for MEP rooms (sprinkler coverage, standpipe hose valves where required) is not indicated; potential unsprinklered or under-protected special hazard/support spaces."
251,Fire Protection,Critical,A0724 - LIFE SAFETY PLAN - LEVELS 24 TO 35 - RESIDENTIAL.pdf,"No sprinkler head layout, spacing, or coverage shown for Levels 24–35; FP constructability and coordination with ceilings/soffits cannot be evaluated."
252,Fire Protection,Critical,A0724 - LIFE SAFETY PLAN - LEVELS 24 TO 35 - RESIDENTIAL.pdf,Standpipe riser and hose valve locations at intermediate and exit levels are not shown; compliance with code-required hose valve placement is unclear.
253,Fire Protection,Critical,A0724 - LIFE SAFETY PLAN - LEVELS 24 TO 35 - RESIDENTIAL.pdf,No indication of sprinkler piping penetrations or required fire-rated assemblies at corridor/unit separations and shafts; FP/architectural coordination is missing.
254,Fire Protection,Critical,A0724 - LIFE SAFETY PLAN - LEVELS 24 TO 35 - RESIDENTIAL.pdf,"Sheet does not provide FP design criteria (sprinkler system type, standpipe class, design density, water supply); contractor cannot confirm system sizing or code basis."
255,Fire Protection,Critical,A0737 - LIFE SAFETY PLAN - LEVELS 37 TO 48 - RESIDENTIAL.pdf,"Sprinkler head locations, spacing, and hydraulic design areas are not indicated; FP coverage for residential units and corridors on Levels 37–48 is not verifiable."
256,Fire Protection,Critical,A0737 - LIFE SAFETY PLAN - LEVELS 37 TO 48 - RESIDENTIAL.pdf,Standpipe hose valve locations and riser routing are not shown; potential conflict with stair pressurization and egress paths cannot be assessed.
257,Fire Protection,Critical,A0737 - LIFE SAFETY PLAN - LEVELS 37 TO 48 - RESIDENTIAL.pdf,"Coordination of sprinkler piping and heads at rated corridor, unit, and shaft walls/ceilings is not detailed; firestopping and sleeve requirements are not identified."
258,Fire Protection,Critical,A0749 - LIFE SAFETY PLAN - LEVELS 49 TO 59 - RESIDENTIAL.pdf,"No sprinkler layout, head spacing, or special coverage (e.g., balconies, concealed spaces) shown for Levels 49–59; NFPA-compliant coverage and constructability cannot be confirmed."
259,Fire Protection,Critical,A0749 - LIFE SAFETY PLAN - LEVELS 49 TO 59 - RESIDENTIAL.pdf,"Standpipe system details (riser, hose valves, interconnection to roof/uppermost level) are not indicated; unclear if uppermost stories meet standpipe termination and valve requirements."
260,Fire Protection,Critical,A0749 - LIFE SAFETY PLAN - LEVELS 49 TO 59 - RESIDENTIAL.pdf,"Sheet lacks explicit reference to FP drawings, standpipe class (I/III), and zoning of sprinkler/standpipe systems; sequencing and riser diagram coordination are ambiguous for upper floors."
261,Fire Protection,Critical,A0761 - LIFE SAFETY PLAN - LEVEL 61 - SKY BRIDGE.pdf,Large assembly/amenity and circulation spaces on the bridge are not shown with sprinkler zoning or head layouts; ability to meet code-required coverage and design densities is not documented.
262,Fire Protection,Critical,A0761 - LIFE SAFETY PLAN - LEVEL 61 - SKY BRIDGE.pdf,Standpipe hose valve locations within stairs and at exit discharge for this level are not shown; compliance with NFPA 14 hose valve spacing cannot be confirmed.
263,Fire Protection,Critical,A0761 - LIFE SAFETY PLAN - LEVEL 61 - SKY BRIDGE.pdf,"Rated separation lines between towers/bridge are indicated architecturally but no FP notes for sprinkler piping penetrations, sleeve/firestop requirements, or cross-building seismic allowances are provided."
264,Fire Protection,Critical,A0762 - LIFE SAFETY PLAN - LEVEL 62 - SKY BRIDGE.pdf,"No sprinkler head layout, spacing dimensions, or sprinkler zoning is shown for residential units and common bridge areas; FP design criteria and coverage cannot be coordinated with life safety plan."
265,Fire Protection,Critical,A0762 - LIFE SAFETY PLAN - LEVEL 62 - SKY BRIDGE.pdf,Standpipe and fire department hose valve locations are not identified in stairwells or at intermediate landings; unclear how FD access is provided on this level.
266,Fire Protection,Critical,A0762 - LIFE SAFETY PLAN - LEVEL 62 - SKY BRIDGE.pdf,Life safety plan depicts rated corridors/smoke barriers without any indication of sprinkler piping or alarm device penetrations and associated firestopping; FP coordination with these barriers is not documented.
267,Fire Protection,Critical,A0763 - LIFE SAFETY PLAN - LEVEL 63 - SKY BRIDGE.pdf,"Large central event space and adjacent areas are shaded but lack any FP information such as sprinkler design criteria (OH/Light/Assembly), head layout, or potential need for closely spaced heads near large openings."
268,Fire Protection,Critical,A0763 - LIFE SAFETY PLAN - LEVEL 63 - SKY BRIDGE.pdf,No standpipe riser diagrams or hose valve symbols shown in stairs; confirmation of continuous standpipe through sky-bridge levels is not possible from this sheet.
269,Fire Protection,Critical,A0763 - LIFE SAFETY PLAN - LEVEL 63 - SKY BRIDGE.pdf,"Large open area between levels is indicated but there is no information on required FP measures (draft curtains, closely spaced sprinklers, or atrium protection strategy); coordination with FP design is unclear."
270,Fire Protection,Critical,A0764 - LIFE SAFETY PLAN - LEVEL 64 - SKY DECK.pdf,"Extensive exterior deck and pool areas have occupant loads and egress paths but no indication of whether exterior sprinklers, standpipe outlets, or other FP provisions are required or provided."
271,Fire Protection,Critical,A0764 - LIFE SAFETY PLAN - LEVEL 64 - SKY DECK.pdf,"Enclosed bar/restaurant and support rooms on sky deck level do not show sprinkler protection, hood suppression interfaces, or FP system zoning; potential gap for assembly and kitchen hazards."
272,Fire Protection,Critical,A0764 - LIFE SAFETY PLAN - LEVEL 64 - SKY DECK.pdf,Stair enclosures to roof level lack indicated standpipe hose valves at required roof/landing locations; compliance with NFPA 14 rooftop outlet requirements is not verifiable.
273,Fire Protection,Critical,A0765 - LIFE SAFETY PLAN - LEVELS 65 TO 66 - PENTHOUSE.pdf,"No sprinkler heads, standpipes, or FP risers are indicated on the life safety plan; coordination with FP drawings for coverage, standpipe locations, and riser routing is not documented."
274,Fire Protection,Critical,A0765 - LIFE SAFETY PLAN - LEVELS 65 TO 66 - PENTHOUSE.pdf,Standpipe locations and hose valve outlets within stair enclosures and near elevator lobbies are not shown; compliance with NFPA 14 and local code for highest stories is unclear.
275,Fire Protection,Critical,A0765 - LIFE SAFETY PLAN - LEVELS 65 TO 66 - PENTHOUSE.pdf,Penetrations for sprinkler mains/branches through rated stair/elevator/shaft walls are not detailed on this plan; need confirmation FP routing will maintain required fire-resistance ratings.
276,Fire Protection,Critical,A0765 - LIFE SAFETY PLAN - LEVELS 65 TO 66 - PENTHOUSE.pdf,"Special/ancillary spaces (mechanical, storage, service areas) are not identified as sprinkled or exempt; FP coverage requirements for these rooms at penthouse level are ambiguous."
